id,name,episode,season,features
176.0,"""ON A CLEAR DAY""",S14E08,14,"CONIFER, MOUNTAIN, RIVER, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER, "
377.0,"""BABBLING BROOK""",S30E01,30,"BUSHES, DECIDUOUS, GRASS, RIVER, TREE, WATERFALL, "
39.0,"""PURPLE SPLENDOR""",S04E01,4,"CABIN, CONIFER, LAKE, SNOW, STRUCTURE, TREE, TREES, WINTER, "
290.0,"""QUIET COVE""",S23E05,23,"BUSHES, CONIFER, DECIDUOUS, HILLS, LAKE, ROCKS, TREE, TREES, "
226.0,"""MAJESTIC PEAKS""",S18E06,18,"BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
113.0,"""COUNTRY CHARM""",S09E10,9,
64.0,"""MEADOW STREAM""",S05E13,5,"BARN, CLOUDS, DECIDUOUS, GRASS, RIVER, ROCKS, STRUCTURE, TREE, TREES, "
362.0,"""MOUNTAIN SERENITY""",S28E12,28,"BUSHES, CONIFER, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES, "
78.0,"""WINTER CABIN""",S07E01,7,"CABIN, CLOUDS, DECIDUOUS, SNOW, STRUCTURE, TREE, WINTER, "
358.0,"""DEEP FOREST FALLS""",S28E08,28,"BUSHES, DECIDUOUS, RIVER, TREE, TREES, WATERFALL, "
378.0,"""WOODGRAIN VIEW""",S30E02,30,"DECIDUOUS, FRAMED, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, WOOD_FRAMED, "
103.0,"""NORTHERN LIGHTS""",S08E13,8,"AURORA_BOREALIS, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, NIGHT, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER, "
0.0,"""A WALK IN THE WOODS""",S01E01,1,"BUSHES, DECIDUOUS, GRASS, RIVER, TREE, TREES, "
372.0,"""STORM ON THE HORIZON""",S29E09,29,"BEACH, CLOUDS, GRASS, OCEAN, PALM_TREES, ROCKS, WAVES, "
278.0,"""PURPLE HAZE""",S22E06,22,"BUSHES, DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL, "
392.0,"""WINDING STREAM""",S31E03,31,"CLOUDS, CONIFER, GRASS, RIVER, ROCKS, TREE, TREES, "
25.0,"""FINAL GRACE""",S02E13,2,"BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
315.0,"""SPLASHES OF AUTUMN""",S25E04,25,"DECIDUOUS, LAKE, RIVER, TREE, TREES, WATERFALL, "
328.0,"""LAKE IN THE VALLEY""",S26E04,26,"BUSHES, DECIDUOUS, GRASS, LAKE, MOUNTAIN, PATH, SNOWY_MOUNTAIN, SUN, TREE, TREES, "
48.0,"""QUIET WOODS""",S04E10,4,"BUSHES, CONIFER, GRASS, RIVER, TREE, TREES, "
112.0,"""MOUNTAIN PATH""",S09E09,9,"BUSHES, CLOUDS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
197.0,"""WINTERTIME DISCOVERY""",S16E03,16,"CABIN, CLOUDS, CONIFER, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER, "
164.0,"""EMERALD WATERS""",S13E09,13,"BUSHES, DECIDUOUS, LAKE, TREE, TREES, "
396.0,"""BRIDGE TO AUTUMN""",S31E07,31,"BRIDGE, DECIDUOUS, LAKE, PATH, STRUCTURE, TREE, TREES, "
104.0,"""WINTER EVERGREENS""",S09E01,9,"CIRRUS, CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER, "
256.0,"""DAYS GONE BY""",S20E10,20,"BRIDGE, BUSHES, CABIN, CONIFER, DECIDUOUS, PATH, STRUCTURE, TREE, TREES, "
281.0,"""HAVEN IN THE VALLEY""",S22E09,22,"CABIN, CONIFER, FRAMED, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, PATH, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, "
95.0,"""HUNTER'S HAVEN""",S08E05,8,"CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, PATH, RIVER, ROCKS, STRUCTURE, TREE, TREES, "
244.0,"""WINTER'S ELEGANCE""",S19E11,19,"CLOUDS, CUMULUS, DECIDUOUS, LAKE, ROCKS, SNOW, TREE, TREES, WINTER, "
58.0,"""BUBBLING BROOK""",S05E07,5,"DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, "
320.0,"""DOWNSTREAM VIEW""",S25E09,25,"CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, "
382.0,"""MISTY FOOTHILLS""",S30E06,30,"CLOUDS, CONIFER, CUMULUS, HILLS, LAKE, MOUNTAIN, TREE, TREES, "
211.0,"""STORMY SEAS""",S17E04,17,"BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, SUN, WAVES, "
133.0,"""HIDDEN STREAM""",S11E04,11,"BUSHES, CLOUDS, DECIDUOUS, RIVER, TREE, TREES, WATERFALL, "
198.0,"""MOUNTAIN MIRAGE""",S16E04,16,"BUSHES, CLOUDS, CONIFER, CUMULUS, FOG, SNOW, TREE, TREES, WINTER, "
397.0,"""TRAIL'S END""",S31E08,31,"CLOUDS, DECIDUOUS, PATH, TREE, TREES, "
363.0,"""HOME BEFORE NIGHTFALL""",S28E13,28,"CABIN, CLOUDS, DECIDUOUS, GRASS, NIGHT, STRUCTURE, TREE, TREES, "
385.0,"""MOUNTAINS OF GRACE""",S30E09,30,"CIRRUS, CLOUDS, CONIFER, DECIDUOUS, GUEST, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES, "
206.0,"""MIGHTY MOUNTAIN LAKE""",S16E12,16,"CLOUDS, CUMULUS, FLOWERS, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, "
185.0,"""PEACEFUL REFLECTIONS""",S15E04,15,
331.0,"""SNOW BIRCH""",S26E07,26,"DECIDUOUS, LAKE, SNOW, TREE, TREES, WINTER, "
232.0,"""SOUTHWEST SERENITY""",S18E12,18,"CACTUS, CIRRUS, CLOUDS, MOUNTAIN, MOUNTAINS, PATH, "
311.0,"""SNOWBOUND CABIN""",S24E13,24,"CABIN, CLOUDS, CONIFER, DECIDUOUS, FENCE, SNOW, TREE, TREES, WINTER, "
160.0,"""MOUNTAIN VIEW""",S13E05,13,"CLOUDS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES, "
241.0,"""SCENIC SECLUSION""",S19E08,19,"BUSHES, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, TREE, TREES, WATERFALL, "
187.0,"""WAVES OF WONDER""",S15E06,15,"BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES, "
43.0,"""EVENING SEASCAPE""",S04E05,4,"BEACH, CLIFF, CLOUDS, CONIFER, CUMULUS, OCEAN, ROCKS, TREE, TREES, WAVES, "
304.0,"""MIRRORED IMAGES""",S24E06,24,"CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, ROCKS, TREE, TREES, "
321.0,"""JUST BEFORE THE STORM""",S25E10,25,"CLOUDS, FRAMED, OCEAN, OVAL_FRAME, PALM_TREES, WAVES, "
224.0,"""CRIMSON OVAL""",S18E04,18,"DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL, "
167.0,"""OVAL ESSENCE""",S13E12,13,"CLOUDS, CONIFER, FRAMED, NIGHT, OCEAN, OVAL_FRAME, ROCKS, TREE, TREES, WAVES, "
76.0,"""MARSHLANDS""",S06E12,6,"BUSHES, CLOUDS, DECIDUOUS, LAKE, TREE, TREES, "
387.0,"""COLD SPRING DAY""",S30E11,30,"BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
337.0,"""EVENING AT THE FALLS""",S26E13,26,"CONIFER, NIGHT, RIVER, TREE, TREES, WATERFALL, "
348.0,"""SPLENDOR OF A SNOWY WHITE""",S27E11,27,"CABIN, CONIFER, DECIDUOUS, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER, "
250.0,"""HAZY DAY""",S20E04,20,"DECIDUOUS, FOG, FRAMED, OVAL_FRAME, RIVER, ROCKS, TREE, TREES, "
3.0,"""WINTER MIST""",S01E04,1,"BUSHES, CLOUDS, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES, "
213.0,"""A MILD WINTER'S DAY""",S17E06,17,"CLOUDS, CONIFER, DECIDUOUS, RIVER, SNOW, TREE, TREES, WINTER, "
141.0,"""ROADSIDE BARN""",S11E12,11,"BARN, CLOUDS, CUMULUS, DECIDUOUS, FENCE, LAKE, PATH, STRUCTURE, TREE, TREES, "
264.0,"""CABIN AT TRAIL'S END""",S21E05,21,"CABIN, DECIDUOUS, FRAMED, OVAL_FRAME, PATH, STRUCTURE, TREE, TREES, "
100.0,"""CACTUS AT SUNSET""",S08E10,8,"CACTUS, CLOUDS, PATH, ROCKS, "
388.0,"""EVENING'S GLOW""",S30E12,30,"CABIN, CONIFER, DECIDUOUS, GRASS, PATH, SUN, TREE, TREES, "
92.0,"""LAKESIDE CABIN""",S08E02,8,"BUSHES, CABIN, CIRCLE_FRAME, CLOUDS, DECIDUOUS, FRAMED, GRASS, LAKE, STRUCTURE, TREE, TREES, "
183.0,"""COLORS OF NATURE""",S15E02,15,"CLOUDS, CUMULUS, DECIDUOUS, GRASS, RIVER, TREE, TREES, "
82.0,"""PORTRAIT OF SALLY""",S07E05,7,"GUEST, PORTRAIT, "
371.0,"""TRAPPER'S CABIN""",S29E08,29,"BUSHES, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES, "
15.0,"""EBONY SEA""",S02E03,2,"CLOUDS, CUMULUS, DECIDUOUS, OCEAN, SUN, TREE, TREES, WAVES, "
310.0,"""THE FOOTBRIDGE""",S24E12,24,"BRIDGE, CONIFER, DECIDUOUS, GRASS, RIVER, ROCKS, STRUCTURE, TREE, TREES, "
216.0,"""LAKE VIEW""",S17E09,17,"CONIFER, DECIDUOUS, FLOWERS, GRASS, GUEST, HILLS, LAKE, STEVE_ROSS, TREE, TREES, "
123.0,"""WINTER SOLITUDE""",S10E07,10,"BUSHES, DECIDUOUS, SNOW, TREE, TREES, WINTER, "
402.0,"""WILDERNESS DAY""",S31E13,31,"DECIDUOUS, GRASS, MOUNTAIN, TREE, TREES, "
292.0,"""AT DAWN'S LIGHT""",S23E07,23,"BUSHES, CONIFER, DECIDUOUS, LAKE, PATH, TREE, TREES, "
4.0,"""QUIET STREAM""",S01E05,1,"DECIDUOUS, RIVER, ROCKS, TREE, TREES, "
44.0,"""WARM SUMMER DAY""",S04E06,4,"BUSHES, DECIDUOUS, LAKE, TREE, TREES, "
152.0,"""MOUNTAIN AT SUNSET""",S12E10,12,"BUSHES, CLOUDS, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
343.0,"""DAISIES AT DAWN""",S27E06,27,"CABIN, CONIFER, DECIDUOUS, FLOWERS, FRAMED, LAKE, OVAL_FRAME, STRUCTURE, TREE, TREES, "
14.0,"""WINTER SUN""",S02E02,2,"CONIFER, LAKE, SNOW, SUN, TREE, TREES, "
55.0,"""WINTER STILLNESS""",S05E04,5,"CONIFER, DECIDUOUS, LAKE, SNOW, TREE, TREES, WINTER, "
169.0,"""DISTANT MOUNTAINS""",S14E01,14,"BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES, "
86.0,"""LAKE BY MOUNTAIN""",S07E09,7,"BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES, "
118.0,"""CABIN AT SUNSET""",S10E02,10,"CABIN, CLOUDS, CONIFER, FENCE, GRASS, STRUCTURE, TREE, TREES, "
54.0,"""MOUNTAIN BLOSSOMS""",S05E03,5,"CONIFER, FLOWERS, GUEST, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES, "
336.0,"""SUNSET AGLOW""",S26E12,26,"CLOUDS, CONIFER, LAKE, MOUNTAIN, TREE, TREES, "
188.0,"""CABIN BY THE POND""",S15E07,15,"CABIN, CLOUDS, CONIFER, DECIDUOUS, GRASS, LAKE, STRUCTURE, TREE, TREES, "
80.0,"""EVERGREENS AT SUNSET""",S07E03,7,"CIRRUS, CLOUDS, CONIFER, DECIDUOUS, RIVER, SUN, TREE, TREES, "
319.0,"""CYPRESS SWAMP""",S25E08,25,"DECIDUOUS, LAKE, TREE, "
323.0,"""DESERT HUES""",S25E12,25,"CACTUS, CIRRUS, CLOUDS, MOUNTAIN, PATH, "
236.0,"""FINAL EMBERS OF SUNLIGHT""",S19E03,19,"DECIDUOUS, FRAMED, OVAL_FRAME, RIVER, SUN, TREE, TREES, "
342.0,"""WINTER AT THE FARM""",S27E05,27,"CONIFER, FARM, FENCE, SNOW, STRUCTURE, TREE, TREES, WINTER, "
267.0,"""BY THE SEA""",S21E08,21,"BEACH, CLIFF, CLOUDS, CUMULUS, DECIDUOUS, OCEAN, ROCKS, SUN, TREE, WAVES, "
35.0,"""CAMPFIRE""",S03E10,3,"BUSHES, DECIDUOUS, FIRE, LAKE, PERSON, TREE, TREES, "
386.0,"""SEASIDE HARMONY""",S30E10,30,"BEACH, CLOUDS, OCEAN, ROCKS, WAVES, "
245.0,"""EVENING'S PEACE""",S19E12,19,"BARN, CONIFER, DECIDUOUS, FENCE, MOON, NIGHT, SNOW, STRUCTURE, TREE, TREES, WINTER, "
297.0,"""CRIMSON TIDE""",S23E12,23,"BEACH, CLIFF, CLOUDS, OCEAN, ROCKS, SUN, WAVES, "
139.0,"""SUNSET OVER THE WAVES""",S11E10,11,"BEACH, CLOUDS, OCEAN, ROCKS, SUN, WAVES, "
364.0,"""ISLAND IN THE WILDERNESS""",S29E01,29,"BUSHES, CONIFER, LAKE, TREE, TREES, "
125.0,"""MOUNTAIN OVAL""",S10E09,10,"BUSHES, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, FRAMED, GUEST, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES, "
401.0,"""IN THE MIDST OF WINTER""",S31E12,31,"BARN, CONIFER, DECIDUOUS, FOG, PATH, SNOW, STRUCTURE, TREE, TREES, WINTER, "
168.0,"""LOST LAKE""",S13E13,13,"CONIFER, GRASS, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES, "
317.0,"""ORIENTAL FALLS""",S25E06,25,"BUSHES, CONIFER, FOG, ROCKS, TREE, TREES, WATERFALL, "
214.0,"""SPECTACULAR WATERFALL""",S17E07,17,"CONIFER, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES, WATERFALL, "
242.0,"""EBB TIDE""",S19E09,19,"BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, SUN, WAVES, "
373.0,"""POT 'O POSIES""",S29E10,29,"FLOWERS, GUEST, "
94.0,"""WATERSIDE WAY""",S08E04,8,"BUSHES, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, TREE, TREES, "
204.0,"""THAT TIME OF YEAR""",S16E10,16,"CLOUDS, DECIDUOUS, GUEST, HILLS, LAKE, STEVE_ROSS, TREE, TREES, "
246.0,"""VALLEY OF TRANQUILITY""",S19E13,19,"BUSHES, CLOUDS, CONIFER, CUMULUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL, "
209.0,"""THE OLD HOME PLACE""",S17E02,17,"CABIN, DECIDUOUS, FENCE, GRASS, PATH, STRUCTURE, TREE, "
11.0,"""SNOWFALL""",S01E12,1,"CIRRUS, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
227.0,"""GOLDEN MORNING MIST""",S18E07,18,"DECIDUOUS, FOG, GRASS, RIVER, TREE, TREES, "
235.0,"""QUIET MOUNTAIN LAKE""",S19E02,19,"CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, TREE, TREES, "
34.0,"""THE OLD MILL""",S03E09,3,"BUSHES, CABIN, CLOUDS, CUMULUS, DECIDUOUS, MILL, RIVER, STRUCTURE, TREE, TREES, "
37.0,"""HIDDEN LAKE""",S03E12,3,"BUSHES, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES, "
299.0,"""GRAY MOUNTAIN""",S24E01,24,"BUSHES, CONIFER, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
308.0,"""ROWBOAT ON THE BEACH""",S24E10,24,"BEACH, BOAT, CLOUDS, FRAMED, GRASS, HILLS, OCEAN, OVAL_FRAME, SUN, WAVES, "
255.0,"""WINTER'S PARADISE""",S20E09,20,"CLOUDS, CONIFER, CUMULUS, MOUNTAIN, RIVER, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER, "
295.0,"""FALLS IN THE GLEN""",S23E10,23,"CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, TREE, TREES, WATERFALL, "
340.0,"""RUSTIC WINTER WOODS""",S27E03,27,"DECIDUOUS, SNOW, SUN, TREE, TREES, WINTER, "
27.0,"""BLUE MOON""",S03E02,3,"CLOUDS, CUMULUS, MOON, NIGHT, OCEAN, PALM_TREES, TREE, TREES, WAVES, "
294.0,"""TOWARD DAY'S END""",S23E09,23,"BUSHES, CABIN, DECIDUOUS, FRAMED, GRASS, OVAL_FRAME, RIVER, STRUCTURE, TREE, TREES, "
144.0,"""MOUNTAIN REFLECTIONS""",S12E02,12,"BUSHES, CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES, "
61.0,"""THE WINDMILL""",S05E10,5,"BARN, CLOUDS, DECIDUOUS, PATH, STRUCTURE, TREE, WINDMILL, "
173.0,"""MOUNTAIN RIVER""",S14E05,14,"BUSHES, CLOUDS, CONIFER, CUMULUS, FOG, FRAMED, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TOMB_FRAME, TREE, TREES, "
108.0,"""WINTER OVAL""",S09E05,9,"BUSHES, CABIN, CONIFER, FOG, FRAMED, MOUNTAIN, OVAL_FRAME, RIVER, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, "
49.0,"""NORTHWEST MAJESTY""",S04E11,4,"CLOUDS, CONIFER, CUMULUS, DIANE_ANDRE, GUEST, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
374.0,"""PERFECT WINTER'S DAY""",S29E11,29,"BUSHES, CABIN, CLOUDS, CONIFER, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER, "
101.0,"""MOUNTAIN RANGE""",S08E11,8,"CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES, "
398.0,"""EVERGREEN VALLEY""",S31E09,31,"CONIFER, GRASS, MOUNTAIN, MOUNTAINS, ROCKS, SNOWY_MOUNTAIN, TREE, TREES, "
357.0,"""THE OLD WEATHERED BARN""",S28E07,28,"BARN, DECIDUOUS, GRASS, PATH, TREE, TREES, "
260.0,"""VALLEY VIEW""",S21E01,21,"CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
341.0,"""WILDERNESS FALLS""",S27E04,27,"BUSHES, CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES, WATERFALL, "
109.0,"""SECLUDED BEACH""",S09E06,9,"BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES, "
228.0,"""WINTER LACE""",S18E08,18,"CLOUDS, CUMULUS, DECIDUOUS, FRAMED, HALF_CIRCLE_FRAME, LAKE, SNOW, TREE, TREES, WINTER, "
130.0,"""MOUNTAIN STREAM""",S11E01,11,"CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
115.0,"""MOUNTAIN-BY-THE-SEA""",S09E12,9,"BEACH, BUSHES, CLOUDS, CUMULUS, DECIDUOUS, MOUNTAIN, OCEAN, SNOWY_MOUNTAIN, TREE, WAVES, "
51.0,"""MOUNTAIN CHALLENGE""",S04E13,4,"CONIFER, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, "
